CODUSU;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH06;CH10;NIVEL_ED;ESTADO;CAT_OCUP;PP07C;PP07H;PP3E_TOT;P21;TOT_P12;P47T;IPCF
TQRMNOP109565;2025;1;42;S;10;848;2;1;47;2;3;2;;;;;0;0;0;326100
TQRMNOP109566;2025;1;1;S;33;1130;2;1;51;2;5;1;3;1;1;42;995000;0;995000;136200
TQRMNOP109567;2025;1;40;N;9;878;2;1;69;2;6;1;3;1;1;35;-9;0;0;269600
TQRMNOP109568;2025;1;43;N;34;1096;1;1;70;2;2;3;;;;;0;0;0;56900
TQRMNOP109569;2025;1;1;S;33;954;1;1;18;2;3;3;;;;;0;0;0;114100
TQRMNOP109570;2025;1;40;S;7;1096;2;2;58;2;3;1;3;2;2;36;718000;0;718000;284100
TQRMNOP109571;2025;1;40;S;7;1757;1;2;30;1;6;3;;;;;0;0;0;107800
TQRMNOP109572;2025;1;1;S;33;1512;1;1;67;2;5;1;3;1;1;31;903000;0;903000;135000
TQRMNOP109573;2025;1;1;S;32;269;2;2;18;1;5;3;;;;;0;0;0;202000
TQRMNOP109574;2025;1;44;N;2;1293;2;1;59;2;2;1;2;2;2;33;350000;68000;418000;59400
TQRMNOP109575;2025;1;40;S;7;633;1;1;42;2;5;1;3;1;1;13;618000;0;618000;161700
TQRMNOP109576;2025;1;1;S;32;737;2;2;93;2;1;1;3;1;1;24;726000;0;726000;56300
TQRMNOP109577;2025;1;1;S;32;1485;1;2;45;2;5;1;2;1;1;40;692000;0;692000;452900
TQRMNOP109578;2025;1;42;S;10;891;3;1;14;1;1;3;;;;;0;0;0;137700
TQRMNOP109579;2025;1;40;N;23;1107;2;2;53;3;7;1;2;1;2;25;248000;0;248000;88900
TQRMNOP109580;2025;1;1;S;32;1226;2;1;44;2;6;1;3;1;1;36;989000;112000;1101000;127700
TQRMNOP109581;2025;1;42;S;10;1793;1;2;63;3;6;1;3;1;1;25;508000;0;508000;148900
TQRMNOP109582;2025;1;42;S;10;497;1;2;35;1;6;1;3;1;1;39;802000;0;802000;102600
TQRMNOP109583;2025;1;43;S;30;695;1;2;82;2;4;1;3;1;2;32;-9;0;0;253800
TQRMNOP109584;2025;1;40;N;9;1259;1;1;58;2;4;1;3;1;1;21;419000;0;419000;240300
TQRMNOP109585;2025;1;42;N;25;1316;1;1;37;2;3;1;3;1;1;35;611000;0;611000;169300
TQRMNOP109586;2025;1;1;S;32;1209;3;2;16;1;3;1;3;2;2;31;628000;0;628000;225300
TQRMNOP109587;2025;1;41;N;12;878;3;2;26;2;4;3;;;;;0;0;0;188000
TQRMNOP109588;2025;1;43;S;20;146;2;2;60;1;5;1;3;1;1;47;518000;36000;554000;117900
TQRMNOP109589;2025;1;1;S;33;1901;3;2;8;1;1;4;;;;;;;;77500
TQRMNOP109590;2025;1;44;N;93;1456;9;2;32;2;2;1;3;2;2;24;342000;0;342000;186700
TQRMNOP109591;2025;1;41;N;12;767;3;1;16;1;3;3;;;;;0;0;0;116500
TQRMNOP109592;2025;1;1;S;32;1244;1;2;54;2;6;1;3;1;1;52;1257000;0;1257000;88500
TQRMNOP109593;2025;1;41;N;15;275;3;1;13;1;1;1;3;2;2;32;81000;0;81000;479700
TQRMNOP109594;2025;1;1;S;32;1760;2;1;38;2;4;1;3;1;1;47;1263000;0;1263000;175400
TQRMNOP109595;2025;1;43;S;19;1525;3;1;6;1;3;4;;;;;;;;197100
TQRMNOP109596;2025;1;1;S;32;1310;2;1;18;2;4;3;;;;;0;0;0;57400
TQRMNOP109597;2025;1;44;S;13;915;3;1;12;1;3;1;3;1;1;40;640000;0;640000;283800
TQRMNOP109598;2025;1;43;N;29;1666;5;1;7;1;2;4;;;;;;;;114100
TQRMNOP109599;2025;1;43;S;19;1066;1;1;26;1;5;1;3;2;2;27;440000;0;440000;207300
TQRMNOP109600;2025;1;41;S;8;1274;1;2;50;2;6;1;3;1;1;32;753000;0;753000;142500
TQRMNOP109601;2025;1;43;S;20;1056;9;2;39;2;4;1;2;1;1;48;647000;0;647000;160200
TQRMNOP109602;2025;1;1;S;33;1490;9;2;38;2;4;1;2;1;1;41;612000;55000;667000;161100
TQRMNOP109603;2025;1;1;S;32;951;5;1;4;1;2;4;;;;;;;;164400
TQRMNOP109604;2025;1;1;S;33;1188;3;1;16;1;4;3;;;;;0;0;0;109300
TQRMNOP109605;2025;1;42;N;27;1271;3;1;2;1;3;4;;;;;;;;112400
TQRMNOP109606;2025;1;1;S;32;1432;1;2;70;2;4;3;;;;;0;0;0;319700
TQRMNOP109607;2025;1;40;N;9;1344;3;2;26;1;5;2;;;;;0;0;0;54800
TQRMNOP109608;2025;1;42;N;27;997;3;2;22;2;3;2;;;;;0;0;0;71100
TQRMNOP109609;2025;1;1;S;32;1122;3;2;5;1;3;4;;;;;;;;113100
TQRMNOP109610;2025;1;40;N;22;758;3;2;14;1;2;3;;;;;0;0;0;41200
TQRMNOP109611;2025;1;42;S;10;1089;1;1;22;2;4;3;;;;;0;0;0;170100
TQRMNOP109612;2025;1;42;N;27;762;6;1;44;2;4;1;3;2;2;29;594000;0;594000;160500
TQRMNOP109613;2025;1;1;S;33;1308;1;2;44;2;4;3;;;;;0;0;0;106800
TQRMNOP109614;2025;1;42;N;25;1352;3;1;14;1;1;3;;;;;0;0;0;115400
TQRMNOP109615;2025;1;41;N;12;1586;1;1;90;2;6;3;;;;;0;55000;55000;327500
TQRMNOP109616;2025;1;43;N;34;660;3;2;12;1;2;3;;;;;0;0;0;284200
TQRMNOP109617;2025;1;42;N;25;1045;3;1;12;1;1;3;;;;;0;0;0;99100
TQRMNOP109618;2025;1;43;S;36;1247;2;2;36;2;4;1;3;1;1;47;1068000;0;1068000;117600
TQRMNOP109619;2025;1;1;S;32;1334;6;1;75;2;3;3;;;;;0;0;0;106600
TQRMNOP109620;2025;1;42;N;27;1580;1;1;53;2;2;1;2;2;2;28;385000;0;385000;53600
TQRMNOP109621;2025;1;1;S;33;1674;3;2;17;1;3;3;;;;;0;0;0;186500
TQRMNOP109622;2025;1;43;N;26;670;3;2;3;1;1;4;;;;;;;;157600
TQRMNOP109623;2025;1;1;S;33;643;1;2;18;1;1;1;2;2;2;29;620000;0;620000;232900
TQRMNOP109624;2025;1;42;N;27;1214;1;2;66;2;2;1;3;2;2;20;476000;0;476000;70200
TQRMNOP109625;2025;1;44;N;2;1190;3;2;8;1;1;4;;;;;;;;89200
TQRMNOP109626;2025;1;1;S;33;628;1;1;49;2;6;1;3;1;1;52;-9;0;0;287600
TQRMNOP109627;2025;1;1;S;33;991;6;2;80;2;1;3;;;;;0;0;0;330000
TQRMNOP109628;2025;1;43;S;17;1286;3;1;3;1;1;4;;;;;;;;111400
TQRMNOP109629;2025;1;1;S;33;2109;3;1;73;2;1;3;;;;;0;96000;96000;198100
TQRMNOP109630;2025;1;40;S;7;933;6;2;50;2;5;1;3;1;1;64;1067000;20000;1087000;77900
TQRMNOP109631;2025;1;1;S;33;520;10;1;29;2;4;1;3;1;1;35;611000;0;611000;144400
TQRMNOP109632;2025;1;1;S;33;1354;3;1;13;1;1;3;;;;;0;0;0;156300
TQRMNOP109633;2025;1;43;S;17;960;3;2;20;2;4;3;;;;;0;0;0;215500
TQRMNOP109634;2025;1;43;S;36;1239;1;1;20;1;5;1;3;2;1;61;824000;0;824000;115400
TQRMNOP109635;2025;1;42;S;10;1699;2;1;68;2;1;1;3;3;2;42;613000;0;613000;84700
TQRMNOP109636;2025;1;1;S;33;1507;1;2;31;2;1;1;3;2;2;28;249000;0;249000;273900
TQRMNOP109637;2025;1;43;S;20;1498;6;2;38;2;6;3;;;;;0;0;0;155200
TQRMNOP109638;2025;1;40;N;22;1015;3;2;27;1;4;1;2;3;2;29;509000;0;509000;90000
TQRMNOP109639;2025;1;40;N;9;1349;6;2;66;2;4;1;3;1;1;51;1066000;0;1066000;173400
TQRMNOP109640;2025;1;43;N;26;1178;2;2;48;2;5;1;3;2;1;27;992000;61000;1053000;73700
TQRMNOP109641;2025;1;1;S;32;776;1;1;44;2;4;1;1;1;1;33;1110000;0;1110000;95100
TQRMNOP109642;2025;1;41;S;8;2123;3;1;0;1;1;4;;;;;;;;152000
TQRMNOP109643;2025;1;44;N;93;1664;1;1;49;2;6;1;3;1;1;49;1166000;0;1166000;118500
TQRMNOP109644;2025;1;1;S;33;1103;6;1;70;2;6;3;;;;;0;0;0;178400
TQRMNOP109645;2025;1;1;S;33;1348;2;1;38;2;6;1;3;1;1;54;1277000;0;1277000;219500
TQRMNOP109646;2025;1;43;N;26;2105;2;1;59;2;4;1;2;2;2;37;743000;0;743000;148000
TQRMNOP109647;2025;1;1;S;32;1477;9;1;34;1;2;2;;;;;0;0;0;96100
TQRMNOP109648;2025;1;1;S;33;731;1;2;67;2;3;3;;;;;0;108000;108000;508700
TQRMNOP109649;2025;1;1;S;32;1194;1;1;53;3;4;1;3;2;2;38;1128000;0;1128000;260100
TQRMNOP109650;2025;1;1;S;32;980;1;2;33;2;3;1;3;1;1;27;376000;28000;404000;66600
TQRMNOP109651;2025;1;41;S;8;1321;5;2;14;1;1;3;;;;;0;0;0;179600
TQRMNOP109652;2025;1;43;S;19;146;9;1;10;1;1;3;;;;;0;93000;93000;137800
TQRMNOP109653;2025;1;1;S;32;933;3;2;17;1;3;3;;;;;0;0;0;60000
TQRMNOP109654;2025;1;40;N;22;1083;5;1;5;1;7;4;;;;;;;;168200
TQRMNOP109655;2025;1;44;N;14;1710;10;2;21;1;4;3;;;;;0;78000;78000;110400
TQRMNOP109656;2025;1;44;N;93;1097;3;1;29;2;6;1;3;1;1;42;1195000;0;1195000;157600
TQRMNOP109657;2025;1;1;S;33;1021;1;1;22;2;3;1;2;1;1;53;1136000;0;1136000;203400
TQRMNOP109658;2025;1;43;N;29;1556;3;2;6;1;3;4;;;;;;;;96300
TQRMNOP109659;2025;1;43;S;17;449;1;2;59;2;5;1;3;1;1;34;782000;0;782000;106400
TQRMNOP109660;2025;1;42;N;27;1559;1;1;48;2;4;1;3;1;2;13;351000;0;351000;277200
TQRMNOP109661;2025;1;43;N;34;1145;3;1;59;2;4;1;3;1;1;31;-9;0;0;51200
TQRMNOP109662;2025;1;44;S;13;2030;2;1;47;2;2;1;2;2;2;79;655000;0;655000;275800
TQRMNOP109663;2025;1;43;S;19;918;3;1;16;1;2;3;;;;;0;0;0;106400
TQRMNOP109664;2025;1;43;N;26;1597;3;2;53;2;3;3;;;;;0;0;0;138700
TQRMNOP109665;2025;1;43;N;38;1532;3;2;8;1;3;4;;;;;;;;172200
TQRMNOP109666;2025;1;40;N;23;474;3;2;69;3;1;1;3;3;2;19;324000;35000;359000;216300
TQRMNOP109667;2025;1;1;S;32;1237;1;2;73;1;2;3;;;;;0;0;0;154300
TQRMNOP109668;2025;1;41;N;15;609;3;2;0;1;1;4;;;;;;;;128300
TQRMNOP109669;2025;1;41;S;8;1689;3;2;8;1;2;4;;;;;;;;175900
TQRMNOP109670;2025;1;1;S;33;1023;1;1;36;2;6;3;;;;;0;45000;45000;177800
TQRMNOP109671;2025;1;43;S;19;1963;1;2;31;2;6;1;2;1;1;55;1120000;0;1120000;57600
TQRMNOP109672;2025;1;43;N;26;1499;3;2;8;1;7;4;;;;;;;;114800
TQRMNOP109673;2025;1;41;N;15;574;1;2;38;2;4;1;1;1;1;27;553000;0;553000;128700
TQRMNOP109674;2025;1;43;N;34;1398;1;2;35;2;5;3;;;;;0;0;0;165100
TQRMNOP109675;2025;1;42;S;10;545;1;2;38;2;3;3;;;;;0;36000;36000;171900
TQRMNOP109676;2025;1;44;N;5;1410;3;2;14;1;3;3;;;;;0;0;0;142600
TQRMNOP109677;2025;1;42;S;10;617;3;1;33;1;4;1;3;1;2;74;598000;0;598000;258900
TQRMNOP109678;2025;1;43;S;17;772;2;2;40;2;4;1;3;1;1;43;727000;0;727000;85000
TQRMNOP109679;2025;1;40;N;9;1663;3;1;1;1;1;4;;;;;;;;77300
TQRMNOP109680;2025;1;1;S;32;456;2;2;30;2;4;1;2;1;1;40;285000;0;285000;152400
TQRMNOP109681;2025;1;40;S;7;1221;2;2;86;1;5;3;;;;;0;0;0;96100
TQRMNOP109682;2025;1;42;N;25;90;1;1;46;2;6;1;1;1;1;28;923000;0;923000;146100
TQRMNOP109683;2025;1;40;N;9;861;5;2;7;1;1;4;;;;;;;;102900
TQRMNOP109684;2025;1;42;N;25;1063;1;1;18;1;5;1;3;3;2;48;436000;0;436000;190400
TQRMNOP109685;2025;1;41;N;12;972;9;2;42;2;5;3;;;;;0;87000;87000;105900
TQRMNOP109686;2025;1;44;N;93;976;1;1;35;2;4;3;;;;;0;0;0;91700
TQRMNOP109687;2025;1;1;S;33;758;1;1;45;2;3;1;3;1;1;35;1028000;0;1028000;256500
TQRMNOP109688;2025;1;1;S;33;1633;1;1;34;2;5;1;3;1;1;9;2286000;0;2286000;80500
TQRMNOP109689;2025;1;1;S;32;1532;3;1;13;1;1;3;;;;;0;0;0;123100
TQRMNOP109690;2025;1;40;S;7;1733;1;1;52;2;3;1;3;1;2;38;343000;0;343000;106200
TQRMNOP109691;2025;1;43;N;26;1486;3;2;10;1;1;3;;;;;0;0;0;329400
TQRMNOP109692;2025;1;43;N;38;1052;3;2;20;2;4;3;;;;;0;0;0;157700
TQRMNOP109693;2025;1;41;S;8;2087;1;2;46;2;6;1;3;1;1;17;-9;0;0;149600
TQRMNOP109694;2025;1;1;S;33;1153;1;2;38;1;3;1;3;3;2;999;850000;0;850000;115700
TQRMNOP109695;2025;1;1;S;33;946;3;1;11;1;3;3;;;;;0;0;0;62500
TQRMNOP109696;2025;1;40;N;9;1259;1;2;36;2;6;1;3;1;1;43;914000;0;914000;360900
TQRMNOP109697;2025;1;41;N;12;1395;1;1;44;2;6;1;2;1;1;40;653000;0;653000;254400
TQRMNOP109698;2025;1;1;S;33;1746;3;1;25;2;4;1;3;2;2;28;545000;0;545000;107500
TQRMNOP109699;2025;1;40;N;22;1410;9;2;13;1;1;3;;;;;0;0;0;242100
TQRMNOP109700;2025;1;40;S;7;1363;3;2;4;1;2;4;;;;;;;;167900
TQRMNOP109701;2025;1;42;N;27;1349;2;2;37;1;3;1;3;3;2;6;330000;0;330000;127300
TQRMNOP109702;2025;1;42;S;10;1180;2;2;67;2;6;3;;;;;0;0;0;292700
TQRMNOP109703;2025;1;40;N;22;1060;1;1;54;2;6;1;3;1;1;31;440000;129000;569000;75900
TQRMNOP109704;2025;1;1;S;32;1121;2;1;55;2;4;1;3;1;1;28;1376000;0;1376000;107300
TQRMNOP109705;2025;1;40;N;23;1731;2;1;59;2;5;3;;;;;0;0;0;91500
TQRMNOP109706;2025;1;41;S;8;802;2;2;35;2;3;1;2;2;2;33;203000;0;203000;116400
TQRMNOP109707;2025;1;40;N;23;863;3;2;76;2;1;3;;;;;0;219000;219000;62500
TQRMNOP109708;2025;1;43;N;38;1710;3;1;15;1;3;3;;;;;0;58000;58000;260500
TQRMNOP109709;2025;1;40;N;23;1061;3;2;70;2;6;3;;;;;0;55000;55000;43600
TQRMNOP109710;2025;1;1;S;33;826;3;2;14;1;1;3;;;;;0;0;0;55500
TQRMNOP109711;2025;1;42;S;10;2042;2;2;44;1;6;3;;;;;0;0;0;87300
TQRMNOP109712;2025;1;40;N;9;1525;3;1;7;1;1;4;;;;;;;;102200
TQRMNOP109713;2025;1;44;N;4;811;3;2;15;1;3;3;;;;;0;0;0;239600
TQRMNOP109714;2025;1;1;S;33;1676;2;1;30;2;4;1;3;1;1;47;793000;0;793000;252000
TQRMNOP109715;2025;1;1;S;33;905;1;1;42;2;4;1;3;1;1;38;801000;0;801000;169600
TQRMNOP109716;2025;1;42;N;25;1266;3;2;0;1;2;4;;;;;;;;257300
TQRMNOP109717;2025;1;41;S;8;1200;2;2;50;1;6;2;;;;;0;0;0;96500
TQRMNOP109718;2025;1;40;N;22;1715;3;2;5;1;3;4;;;;;;;;359100
TQRMNOP109719;2025;1;40;N;9;822;3;1;16;1;3;3;;;;;0;0;0;226600
TQRMNOP109720;2025;1;1;S;32;1198;1;2;33;2;4;1;3;1;1;23;736000;63000;799000;86000
TQRMNOP109721;2025;1;40;N;23;1350;1;1;39;2;6;1;2;1;1;45;1280000;121000;1401000;164500
TQRMNOP109722;2025;1;40;N;22;1525;1;2;73;2;6;3;;;;;0;0;0;115600
TQRMNOP109723;2025;1;42;N;25;1196;1;2;21;2;5;2;;;;;0;0;0;180400
TQRMNOP109724;2025;1;44;N;2;828;3;2;21;2;3;3;;;;;0;0;0;76500
TQRMNOP109725;2025;1;1;S;32;806;3;1;28;1;6;3;;;;;0;133000;133000;149500
TQRMNOP109726;2025;1;1;S;33;1379;3;1;3;1;7;4;;;;;;;;68700
TQRMNOP109727;2025;1;1;S;32;1077;3;1;27;1;5;1;3;1;2;30;1263000;0;1263000;219900
TQRMNOP109728;2025;1;40;N;22;914;3;2;15;1;3;3;;;;;0;0;0;61600
TQRMNOP109729;2025;1;44;S;13;1003;3;1;6;1;7;4;;;;;;;;143600
TQRMNOP109730;2025;1;1;S;33;1844;3;2;26;2;1;2;;;;;0;0;0;192100
TQRMNOP109731;2025;1;43;N;34;971;1;2;32;2;7;2;;;;;0;0;0;361400
TQRMNOP109732;2025;1;41;N;12;1385;2;2;69;2;6;3;;;;;0;0;0;123700
TQRMNOP109733;2025;1;1;S;32;1024;2;2;37;2;5;1;3;1;1;44;683000;0;683000;299900
TQRMNOP109734;2025;1;40;N;9;1771;2;1;52;2;4;1;3;1;1;36;429000;0;429000;161200
TQRMNOP109735;2025;1;1;S;33;1828;3;2;56;2;6;3;;;;;0;99000;99000;153500
TQRMNOP109736;2025;1;41;N;12;603;1;1;20;1;3;1;3;3;2;37;494000;0;494000;240200
TQRMNOP109737;2025;1;40;N;9;347;1;1;39;2;6;1;3;1;1;41;847000;0;847000;179300
TQRMNOP109738;2025;1;43;N;26;312;1;2;77;2;2;3;;;;;0;88000;88000;162000
TQRMNOP109739;2025;1;41;N;15;951;3;2;26;1;4;3;;;;;0;0;0;102100
TQRMNOP109740;2025;1;40;S;7;1789;1;1;32;2;5;1;3;1;1;41;1002000;0;1002000;150500
TQRMNOP109741;2025;1;1;S;32;838;2;2;72;2;5;3;;;;;0;125000;125000;211500
TQRMNOP109742;2025;1;1;S;32;946;3;2;3;1;2;4;;;;;;;;134200
TQRMNOP109743;2025;1;40;N;9;1005;1;1;50;2;3;1;2;2;2;35;412000;109000;521000;129100
TQRMNOP109744;2025;1;1;S;32;682;6;2;85;2;6;3;;;;;0;0;0;111400
TQRMNOP109745;2025;1;43;N;29;1382;3;1;12;1;1;3;;;;;0;0;0;192300
TQRMNOP109746;2025;1;43;N;26;739;1;1;51;2;6;3;;;;;0;0;0;133600
TQRMNOP109747;2025;1;1;S;32;1801;1;1;56;2;4;1;3;1;1;35;974000;0;974000;60400
TQRMNOP109748;2025;1;43;S;20;526;1;2;33;2;7;3;;;;;0;179000;179000;203700
TQRMNOP109749;2025;1;1;S;33;1014;1;2;37;1;3;1;3;1;2;42;310000;0;310000;435200
TQRMNOP109750;2025;1;1;S;32;912;1;1;39;2;5;1;2;1;1;44;727000;0;727000;282700
TQRMNOP109751;2025;1;40;N;9;1175;9;1;10;1;1;3;;;;;0;0;0;200700
TQRMNOP109752;2025;1;1;S;33;1452;2;2;34;2;3;1;3;1;1;46;2402000;0;2402000;83000
TQRMNOP109753;2025;1;43;N;29;1621;2;1;72;2;4;3;;;;;0;0;0;175700
TQRMNOP109754;2025;1;43;S;30;822;2;1;18;1;7;1;2;2;2;26;167000;0;167000;214200
TQRMNOP109755;2025;1;44;N;4;1165;2;2;73;2;6;3;;;;;0;0;0;74800
TQRMNOP109756;2025;1;42;S;10;547;1;1;63;2;4;3;;;;;0;0;0;232400
TQRMNOP109757;2025;1;1;S;33;811;1;2;37;2;3;1;3;2;2;22;-9;221000;220991;96500
TQRMNOP109758;2025;1;43;N;29;822;1;2;19;2;4;1;2;1;2;27;555000;0;555000;161500
TQRMNOP109759;2025;1;43;N;34;1120;3;1;27;1;4;1;3;2;2;23;456000;0;456000;206300
TQRMNOP109760;2025;1;42;S;10;1017;3;1;12;1;2;3;;;;;0;0;0;169100
TQRMNOP109761;2025;1;1;S;32;1920;1;2;35;2;2;3;;;;;0;0;0;125100
TQRMNOP109762;2025;1;1;S;32;1613;3;1;4;1;3;4;;;;;;;;263400
TQRMNOP109763;2025;1;42;N;25;1495;5;2;9;1;3;4;;;;;;;;93300
TQRMNOP109764;2025;1;43;N;29;1080;2;2;56;2;6;1;3;1;1;25;909000;0;909000;284700
TQRMNOP109765;2025;1;40;N;23;922;2;1;71;2;3;3;;;;;0;0;0;123200
TQRMNOP109766;2025;1;1;S;33;1789;1;2;50;2;6;1;3;1;1;31;534000;0;534000;118600
TQRMNOP109767;2025;1;40;S;7;362;1;2;94;2;2;1;3;3;2;35;316000;28000;344000;206200
TQRMNOP109768;2025;1;1;S;32;1008;3;2;7;1;1;4;;;;;;;;221600
TQRMNOP109769;2025;1;43;S;20;1591;2;2;49;2;4;1;2;1;1;40;853000;0;853000;146300
TQRMNOP109770;2025;1;44;N;4;1413;3;1;26;1;6;1;3;1;1;30;1925000;159000;2084000;100300
TQRMNOP109771;2025;1;40;N;9;1408;1;1;37;2;4;2;;;;;0;156000;156000;98700
TQRMNOP109772;2025;1;41;S;8;453;3;2;31;2;4;1;2;2;2;32;378000;0;378000;236700
TQRMNOP109773;2025;1;1;S;33;1471;9;2;33;2;6;1;2;1;1;42;-9;0;0;121800
TQRMNOP109774;2025;1;41;N;15;1021;3;1;48;2;4;1;2;1;1;25;806000;0;806000;186200
TQRMNOP109775;2025;1;41;N;15;648;3;1;20;2;3;3;;;;;0;0;0;212000
TQRMNOP109776;2025;1;1;S;33;893;3;1;4;1;2;4;;;;;;;;152100
TQRMNOP109777;2025;1;43;S;36;703;2;1;39;2;4;1;3;1;1;33;787000;0;787000;114300
TQRMNOP109778;2025;1;1;S;33;1499;3;2;63;3;4;1;2;1;1;54;993000;71000;1064000;215100
TQRMNOP109779;2025;1;40;N;22;1608;6;1;32;2;3;1;3;1;2;31;247000;0;247000;60100
TQRMNOP109780;2025;1;1;S;33;802;1;1;23;1;5;1;2;2;2;26;418000;0;418000;203000
TQRMNOP109781;2025;1;1;S;33;1540;3;1;87;2;6;1;3;1;1;70;997000;0;997000;147700
TQRMNOP109782;2025;1;41;N;12;1182;3;1;13;1;1;3;;;;;0;51000;51000;61800
TQRMNOP109783;2025;1;1;S;32;1138;1;1;36;2;4;1;2;1;1;56;-9;0;0;125300
TQRMNOP109784;2025;1;44;N;6;354;3;1;2;1;2;4;;;;;;;;99900
TQRMNOP109785;2025;1;43;N;26;1458;3;1;26;2;4;1;1;2;2;41;500000;0;500000;115300
TQRMNOP109786;2025;1;1;S;32;1337;2;1;62;2;4;3;;;;;0;0;0;95300
TQRMNOP109787;2025;1;43;S;30;1737;1;2;44;2;6;1;3;1;1;60;402000;0;402000;199800
TQRMNOP109788;2025;1;43;S;19;1304;2;1;29;2;4;1;3;2;2;24;663000;0;663000;174900
TQRMNOP109789;2025;1;1;S;32;824;1;1;31;2;2;1;2;2;2;36;597000;0;597000;266300
TQRMNOP109790;2025;1;43;N;34;1622;3;1;33;1;4;1;3;1;1;36;1020000;134000;1154000;45800
TQRMNOP109791;2025;1;41;N;15;760;1;1;48;2;2;1;3;1;2;11;260000;0;260000;146300
TQRMNOP109792;2025;1;43;N;29;607;1;1;73;2;1;3;;;;;0;28000;28000;116300
TQRMNOP109793;2025;1;40;S;7;879;1;2;28;2;4;1;2;3;2;45;296000;36000;332000;154200
TQRMNOP109794;2025;1;43;N;26;1361;2;2;40;2;3;1;2;2;1;18;730000;72000;802000;143600
TQRMNOP109795;2025;1;1;S;33;818;1;1;41;2;3;1;3;2;2;36;1102000;0;1102000;67400
TQRMNOP109796;2025;1;43;N;29;853;2;2;44;2;4;1;1;1;1;44;1521000;0;1521000;110100
TQRMNOP109797;2025;1;42;S;10;1556;3;1;16;1;3;3;;;;;0;128000;128000;56200
TQRMNOP109798;2025;1;40;N;9;631;2;1;55;3;4;2;;;;;0;0;0;349700
TQRMNOP109799;2025;1;40;N;9;382;2;1;59;2;5;1;3;1;2;41;302000;0;302000;69400
TQRMNOP109800;2025;1;41;N;15;2003;1;2;55;2;2;1;2;2;2;24;350000;0;350000;101300
TQRMNOP109801;2025;1;44;N;6;743;9;2;49;2;6;1;3;1;1;37;863000;0;863000;230100
TQRMNOP109802;2025;1;1;S;33;1189;1;1;26;2;3;1;3;3;2;42;291000;0;291000;70000
TQRMNOP109803;2025;1;1;S;33;987;3;2;35;2;6;3;;;;;0;0;0;193700
TQRMNOP109804;2025;1;1;S;32;1049;3;2;14;1;1;1;3;3;2;13;181000;0;181000;364900
TQRMNOP109805;2025;1;41;N;12;1395;3;1;4;1;1;4;;;;;;;;190500
TQRMNOP109806;2025;1;1;S;33;1067;1;1;30;2;3;1;4;1;1;69;533000;231000;764000;358900
TQRMNOP109807;2025;1;1;S;32;929;1;1;44;3;3;1;3;2;1;20;785000;0;785000;147800
TQRMNOP109808;2025;1;44;N;4;1678;2;1;28;2;3;1;3;1;1;44;1357000;57000;1414000;152700
TQRMNOP109809;2025;1;1;S;32;1391;2;1;35;2;3;3;;;;;0;0;0;199100
TQRMNOP109810;2025;1;42;N;27;1635;1;1;24;1;5;2;;;;;0;0;0;130600
TQRMNOP109811;2025;1;41;N;12;1862;3;2;23;2;3;1;2;3;2;23;462000;0;462000;425100
TQRMNOP109812;2025;1;44;N;6;1257;1;2;34;2;5;3;;;;;0;0;0;165500
TQRMNOP109813;2025;1;43;S;20;1298;1;2;72;2;6;3;;;;;0;0;0;180900
TQRMNOP109814;2025;1;1;S;33;1789;1;1;53;2;6;1;2;1;1;54;1275000;0;1275000;200600
TQRMNOP109815;2025;1;44;N;2;1373;3;1;9;1;3;4;;;;;;;;136000
TQRMNOP109816;2025;1;40;S;7;974;1;2;95;2;4;1;3;2;1;39;404000;0;404000;63300
TQRMNOP109817;2025;1;1;S;32;1286;3;2;12;1;3;3;;;;;0;0;0;103600
TQRMNOP109818;2025;1;42;S;10;1784;1;2;43;2;4;1;1;1;1;26;698000;0;698000;114500
TQRMNOP109819;2025;1;43;S;36;1166;5;2;5;1;3;4;;;;;;;;126800
TQRMNOP109820;2025;1;44;N;4;1470;9;1;65;2;3;3;;;;;0;0;0;36100
TQRMNOP109821;2025;1;1;S;33;1108;1;1;52;2;4;1;3;1;1;23;594000;0;594000;285200
TQRMNOP109822;2025;1;43;S;20;717;1;1;84;2;2;3;;;;;0;0;0;157700
TQRMNOP109823;2025;1;1;S;33;784;2;1;28;1;5;1;3;1;2;38;1405000;0;1405000;243700
TQRMNOP109824;2025;1;43;S;17;645;1;1;84;2;5;3;;;;;0;0;0;47600
TQRMNOP109825;2025;1;42;S;10;1200;3;1;5;1;2;4;;;;;;;;89500
TQRMNOP109826;2025;1;41;N;12;1193;3;2;28;1;5;1;3;2;2;33;179000;0;179000;101700
TQRMNOP109827;2025;1;1;S;33;1592;1;1;40;2;3;1;2;2;2;61;443000;0;443000;61300
TQRMNOP109828;2025;1;40;N;22;1152;6;1;42;1;3;3;;;;;0;0;0;56700
TQRMNOP109829;2025;1;1;S;33;1957;1;2;42;2;4;3;;;;;0;0;0;95600
TQRMNOP109830;2025;1;44;N;93;1484;1;2;34;2;4;3;;;;;0;0;0;60200
TQRMNOP109831;2025;1;1;S;33;468;3;1;7;1;1;4;;;;;;;;215500
TQRMNOP109832;2025;1;40;N;9;1077;1;2;42;2;2;1;3;1;1;24;322000;0;322000;312700
